Date,Venue,Attendence
2019-06-07T19:00:00Z,Paris,45261
2019-06-08T13:00:00Z,Rennes,15283
2019-06-08T16:00:00Z,Le Havre,12044
2019-06-08T19:00:00Z,Reims,11058
2019-06-09T13:30:00Z,Grenoble,17668
2019-06-09T16:00:00Z,Nice,13188
2019-06-09T23:00:00Z,Valenciennes,15380
2019-06-10T16:00:00Z,Paris,25055
2019-06-10T19:00:00Z,Montpellier,10710
2019-06-11T13:00:00Z,Le Havre,10654
2019-06-11T16:00:00Z,Rennes,15875
2019-06-11T19:00:00Z,Reims,18591
2019-06-12T13:00:00Z,Grenoble,11252
2019-06-12T16:00:00Z,Valenciennes,20761
2019-06-12T19:00:00Z,Nice,34872
2019-06-13T16:00:00Z,Montpellier,17032
2019-06-13T19:00:00Z,Paris,20011
2019-06-14T13:00:00Z,Rennes,13201
2019-06-14T16:00:00Z,Reims,12016
2019-06-14T19:00:00Z,Le Havre,20294
2019-06-15T13:00:00Z,Valenciennes,22423
2019-06-15T19:00:00Z,Grenoble,14856
2019-06-16T13:00:00Z,Nice,9354
2019-06-16T16:00:00Z,Paris,45594
2019-06-17T16:00:00Z,Le Havre,11814
2019-06-17T16:00:00Z,Montpellier,15502
2019-06-17T19:00:00Z,Rennes,28267
2019-06-17T19:00:00Z,Reims,13034
2019-06-18T19:00:00Z,Valenciennes,21669
2019-06-18T19:00:00Z,Grenoble,17402
2019-06-19T19:00:00Z,Nice,14319
2019-06-19T19:00:00Z,Paris,28205
2019-06-20T16:00:00Z,Montpellier,8009
2019-06-20T16:00:00Z,Reims,19277
2019-06-20T19:00:00Z,Rennes,13567
2019-06-20T19:00:00Z,Le Havre,22418
2019-06-22T15:30:00Z,Grenoble,17988
2019-06-22T19:00:00Z,Nice,12229
2019-06-23T15:30:00Z,Valenciennes,20148
2019-06-23T19:00:00Z,Le Havre,23965
2019-06-24T16:00:00Z,Reims,19633
2019-06-24T19:00:00Z,Paris,38078
2019-06-25T16:00:00Z,Montpellier,17492
2019-06-25T19:00:00Z,Rennes,21076
2019-06-27T19:00:00Z,Le Havre,21111
2019-06-28T19:00:00Z,Paris,45595
2019-06-29T13:00:00Z,Valenciennes,22600
2019-06-29T16:30:00Z,Rennes,25301
2019-07-02T19:00:00Z,Lyon,53512
2019-07-03T19:00:00Z,Lyon,48452
2019-07-06T15:00:00Z,Nice,20316
2019-07-07T15:00:00Z,Lyon,57900
